County,Public School District,School Name,School Bldg Number,Administrator,Address,City,State,Zip,Phone Number,Email Address,Web Site Address,Grade,Profit/Non-Profit,Accredited,Residential School,Special Education,Gifted,,,
King,Lake Washington,Dartmoor School—Bothell (formerly Dartmoor School–Woodinville 2016),8261,Andrew Wahl,"11812 North Creek Parkway  N
(Mail: 2340 130th Ave NE   Ste 110      
 Bellevue 98005-1763)",Bothell,WA,98011-8202,425.885.1123,andrew@dartmoorschool.org,www.dartmoorschool.org,1-12,P,NWAC,,Yes,,,,
King,Issaquah,Dartmoor School--Issaquah,8337,Andrew Wahl,"22500 SE 64th Pl  #130
(Mail: 2340 130th Ave NE Ste 110)
Bellevue WA 98005-1763)",Issaquah,WA,98027-8111,425.885.1123,andrew@dartmoorschool.org,www.dartmoorschool.org,1-12,P,NWAC,,Yes,,,,
King,Seattle,Dartmoor School--Seattle,8066,Andrew Wahl,"9618 Roosevelt Way NE          
(Mail: 2340 130th Ave NE  Ste 110           
Bellevue WA 98005-1763)",Seattle,WA,98115-2236,425.885.1123,andrew@dartmoorschool.org,www.dartmoorschool.org,1-12,P,NWAC,,Yes,,,,
Lincoln,Reardan-Edwall,Deep Creek Hutterian School,8122,Jason Everman,3610 North Wood Rd,Reardan,WA,99029-9619,509.863.5908,jasone3@icloud.com,,K-12,NP,,,,,,,
Island,Oak Harbor,Der Kinderhuis Montessori,8881,Kari A Sanders,900 SE Dock St,Oak Harbor,WA,98277-4063,360.675.4165,dkhllcdirector@yahoo.com,www.dkhmontessori.com,P-5,P,,,,,,,
King,Seattle,Derech Emunah dba Seattle Jewish Girls High Schl,803G,Rabbi Shaul Engelsberg,"5142 S Holly St
(Mail: 5145 S Moran St
Seattle WA 98118-2901)",Seattle,WA,98118,"888.944.1043
206.790.1475",rabbiengelsberg@derechemunah.com,www.derechemunah.com,9-12,NP,,,,,,,
Walla Walla,Walla Walla,DeSales Catholic School,8211,John Lesko,919 East Sumach,Walla Walla,WA,99362-1349 ,509.525.3030,jlesko@thewwcs.com,www.thewwcs.com,9-12,NP,WCEA,,,,,,
Kitsap,Central Kitsap,Discovery Depot Montessori,1404,Constance Falconer,7333 Tracyton Blvd,Bremerton,WA,98311-9036,360.337.1400,conniefalconer@hotmail.com,discoverydepotmontessori.com,P-1,P,,,,,,,
Kitsap,South Kitsap,Discovery Montessori,8346,Starla Franks,1026 Sidney Ave  #160,Port Orchard,WA,98366-9036,360.337.5745,info@discoverymontessori.org,www.discoverymontessori.org,P-8,P,,,,,,,
King,Northshore,Dolan Learning Center LLC  (formerly Dolan Academy & Learning Center 2016; formerly Dolan Learning Center LLC),801R,Janet Dolan,18500 156th Ave NE  Ste 204,Woodinville,WA,98072-4459,425.488.3587,janet@dolanlearning.com,www.dolanlearning.com,P-12,P,NWAC,,Yes,Yes,,,
Thurston,Yelm,Eagle View Christian School,800V,Barbara Ballou,13036 Morris Rd SE,Yelm,WA,98597-9211,360.458.3090,bballou@ywave.com,www.eagleviewchristianschool.com,P-12,NP,,,,,,,
King,Bellevue,Eastside Academics School (formerly Academic Institute  2017),8835,Jennifer Vice,2495 140th Ave NE  Suite D-210,Bellevue,WA,98005-2023,425.401.6844,sherrill@eastsideschool.org,www.academicinstitute.com,6-12,P,NWAC,,,,,,
King,Bellevue,Eastside Academy,8476,Toni Esparza,1717 Bellevue Way NE                ,Bellevue,WA,98004-2853,425.452.9920,tonie@eastsideacademy.org,www.eastsideacademy.org,9-12,NP,,,,,,,
King,Lake Washington,Eastside Academy--Redmond,803K,Toni Esparza,9900 Willows Rd NE,Redmond,WA,98052-2531,425.895.2415,tonie@eastsideacademy.org,www.eastsideacademy.org,9-12,NP,,,,,,,
King,Lake Washington,Eastside Catholic School (formerly Eastside Catholic HS) (2009),8572,John T. Kennedy,232 228th Ave SE,Sammamish,WA,98074-7207,425.295.3000,jkennedy@eastsidecatholic.org,www.eastsidecatholic.org,6-12,NP,NAIS,,Yes,,,,
King,Bellevue,Eastside Christian School,8741,Mark Migliore,14615 SE 22nd St,Bellevue,WA,98007-6242,425.641.5570,mmigliore@ecswa.org,www.ecswa.org,P-8,NP,,,,,,,
King,Lake Washington,Eastside Preparatory School,8662,"Terry Macaluso, PhD",10613 NE 38th Pl,Kirkland,WA,98033-7927,425.822.5668,tmacaluso@eastsideprep.org,www.eastsideprep.org,5-12,NP,NAIS,,,,,,
King,Lake Washington,Eaton Arrowsmith Academy,804B,Wanda Risley,17946 65th St,Redmond,WA,98052-4963,604.264.8327,wrisley@eatonarrowsmith.com,www.eatonarrowsmith.com,K-12,P,,,Yes,,,,
Whatcom,Lynden,Ebenezer Christian School,8221,Jim Buss,9390 Guide Meridian Rd,Lynden,WA,98264-9798,360.354.2632,jimbuss@ebenezerchristianschool.org,www.ebenezerchristianschool.org,P-8,NP,,,Yes,,,,
Kittitas,Ellensburg,Ellensburg Christian School,8941,Tammie Lenz,407 S Anderson St ,Ellensburg,WA,98926-3805,509.925.2411,tlenz@ellensburgchristian.org,ellensburgchristian.org,K-8,NP,,,,,,,
King,Seattle,Emerald City School,803L,"Jennifer ""Nicole"" Nichols",520 Denny Way ,Seattle,WA,98109-5003,206.209.0950,nnichols@emeraldcityschool.com,www.emeraldcityschool.com,1-9,P,,,Yes,,,,
King,Bellevue,Emerald Heights Academy,8971,Kim Bentler,"3850 156th Ave SE
(Mail: 1420 NW Gilman Blvd  PMB #2144
Issaquah WA 98027)",Bellevue,WA,98006-1760,425.643.1671,EHAPrincipal@emeraldheights.org,www.emeraldheights.org,P-8,NP,,,,,,,
King,Seattle,Epiphany School,8033,Jenn Elkin,3611 E Denny Way,Seattle,WA,98122-3423,206.323.9011,jelkin@epiphanyschool.org,www.epiphanyschool.org,P-5,NP,NAIS,,,,,,
King,Bellevue,Eton School,8559,Dr. Russell Smith,2701 Bel-Red Rd,Bellevue,WA,98008-2253,425.881.4230,RussellSmith@etonschool.org,www.etonschool.com,P-8,NP,NAIS,,,,,,
Snohomish,Everett,Everett Christian School,8156,Joel Alberts,2221 Cedar St,Everett,WA,98201-2599,425.259.3213,jalberts@everettchristian.org,www.everettchristian.org,P-8,NP,CSI,,,,,,
King,Northshore,Evergreen Academy,8673,Whitney Ball,16017 118th Pl NE,Bothell,WA,98011-4151,425.488.8000,Whitney.Ball@nlcinc.com,http://bothell.evergreenacademy.net/,K-5,P,NWAC,,,,,,
Lewis,Centralia,Evergreen Academy of Arts & Sciences,8663,"Mary Ann White, Bd President",506 S Washington Ave,Centralia,WA,98531-2622,360.330.1833,Fanny24May@yahoo.com,,P-6,NP,NWAC,,,,,,
King,Federal Way,Evergreen Christian Private School (formerly Slavic Gospel Church Academy 2016),803C,Angelina Nalivayko,3405 S 336th St,Federal Way,WA,98001-9630,253.880.1021,"info@sgcacademy.org
analivayko@evergreenchristianps.org",www.sgcacademy.org,P-8,NP,,,,,,,
Thurston,Olympia,Evergreen Christian School,8332,Cyndi Pollard,1010 Black Lake Blvd SW,Olympia,WA,98502-5723,360.357.5590,cyndi@ecsolympia.com,www.ecsonline.cc,P-8,NP,NWAC,,,Yes,,,
Pierce,Puyallup,Evergreen Lutheran High School,8456,Theodore Klug,7306 Waller Road E,Tacoma,WA,98443-1105,253.946.4488,principal@elhs.org,www.elhs.org,9-12,NP,NLSA,,,,,,
King,Shoreline,Evergreen School,8034,Veronica Codrington-Cazeau,15201 Meridian Ave N,Shoreline,WA,98133-6331,206.957.1524,rcazeau@evergreenschool.org,www.evergreenschool.org,P-8,NP,NAIS,,,Yes,,,
Whatcom,Bellingham,Explorations Academy/Global Community Institute,8074,Abram Dickerson,1701 Ellis Street  Suite 215 ,Bellingham,WA,98225-4617,360.671.8085,abram@explorationsacademy.org,www.ExplorationsAcademy.org,6-12,NP,NWAC,,,,,,
King,Highline,Explorer West Middle School,8189,Evan Hundley,10015 28th Ave SW,Seattle,WA,98146-3708,206.935.0495,Evanh@explorer-west.org,www.explorerwest.org,6-8,NP,NAIS,,,,,,
King,Seattle,Fairview Christian School  (Part of North Sound Christian Schools),8859,Kent Davis,844 NE 78th St,Seattle,WA,98115-4202,206.526.0762,kentd@fcsseattle.org,www.fcsseattle.org,P-8,NP,,,,,,,
Pierce,Tacoma,Faith Lutheran School,8135,Paul Leifer,113 S 96th St,Tacoma,WA,98444-6502,253.537.2696,principal@faithtacoma.com,www.faithtacoma.com,P-8,NP,,,,,,,
Thurston,North Thurston,Faith Lutheran School,8482,Laura White,7075 Pacific Ave SE,Lacey,WA,98503-1473,360.491.1733,l.white@faithcampus.org,www.flschool.org,P-8,NP,,,,,,,
Snohomish,Arlington,Family Academy (formerly Academy NW/Family Academy  2017),8826,Diana McAlister,23420 Jordan Rd                            ,Arlington,WA,98223-9584,360.435.9423,dianamca@familyacademy.org,www.familyacademy.org,K-12,NP,NWAC,,,Yes,,,
Cowlitz,Kelso,Family House Academy,8347,Lisa L. Mustion,1220 Carroll Rd,Kelso,WA,98626-9467,360.425.7481,wisha@comcast.net,familyhouseacademy.com,K-8,NP,,,,,,,
Skagit,Anacortes,Fiddlehead Montessori School,805G,Heidi Velin,"2702 R Ave
(Mail: PO Box 1168
Anacortes WA 98221-6168)",Anacortes,WA,98221-2856,360.399.3837,fiddleheadmontessori@gmail.com,thefiddlehead.org,1-6,NP,,,,,,,
Kittitas,Ellensburg,Figs Christian School,805H,Ida Brown,415 W 14th Ave,Ellensburg,WA,98926-2425,"509.425.5565
702.808.0195 (cell)",figs.personnel@gmail.com,www.figschristianschool.weebly.com,K-8,NP,,,,,,,
Clark,Battle Ground,Firm Foundation Christian School,8480,Julie Olson,1919 SW 25th Ave,Battle Ground,WA,98604-3137,360.687.8382,jolson@ffcs.org,www.ffcs.org,P-12,NP,ACSI,,,,,,
King,Seattle,First Place Scholars School,8597,Tanya Coon,172 20th Ave,Seattle,WA,98122-5862,"206.323.6715
206.748.3514",tcoon@firstplaceschool.org,www.fpscholars.org,P-1,NP,,,,,,,
Spokane,Spokane,First Presbyterian Christian School,800B,Tracy Blue,318 S Cedar,Spokane,WA,99201-7030,509.747.9192,tracyb@spokanefpc.org,www.fpchristianschool.org,P-5,NP,,,,,,,
Clallam,Sequim,Five Acre School,8197,Autumn Piontek-Walsh,515 Lotzgesell Rd,Sequim,WA,98382-8072,360.681.7255,office@fiveacreschool.org,fiveacreschool.org,P-6,P,,,,,,,
Skagit,Mt Vernon,Foothills Christian School ,8330,Mark T. Collins,"730 N 16th St                     
(Mail: PO Box 2537                  
Mt Vernon 98273-2537)",Mt Vernon,WA,98273-3429,360.420.9749,"coho.collins@gmail.com
mcollins@foothillschristian.com",www.foothillschristian.com,P-8,NP,,,,,,,
Snohomish,Everett,Forest Park Adventist School,8793,Cynthia Miller,4120 Federal Ave,Everett,WA,98203-2117,425.258.6911,cmillerfpacs@gmail.com,www.forest24.adventistschoolconnect.org,K-8,NP,SDA,,,,,,
King,Bellevue,Forest Ridge School of Sacred Heart,8035,Mark Pierotti,4800 139th Ave SE,Bellevue,WA,98006-3015,425.641.0700,markpi@forestridge.org,www.forestridge.org,5-12,NP,NWAIS,Yes,,,,,
King,Bellevue,French Immersion School of WA,8408,Veronique Dessaud,4211 W Lk Sammamish Pkwy SE,Bellevue,WA,98008-5936,425.653.3970,vdussud@fisw.org,www.fisw.org,P-5,NP,NWAIS,,,,,,
King,Mercer Island,French-Am School of Puget Sound,8279,Eric Thuau,3795 E Mercer Way,Mercer Island,WA,98040-3849,206.275.3533,erict@fasps.org,www.fasps.org,P-8,NP,NAIS,,,,,,
Kitsap,North Kitsap,Gateway Christian Schools (formerly Christ the King Acad-2011),8341,Nick Sweeney,"705 NE Lincoln Rd                                         
(Mail: 18901 8th Ave NE           
 Poulsbo 98370-7349)",Poulsbo,WA,98370-7512,360.779.9189,nick.sweeney@gatewaychristianschools.org,www.gatewaychristianschools.org,K-5,NP,,,,,,,
King,Seattle,Giddens School,8978,Morva McDonald,620 20th Ave S,Seattle,WA,98144-2209,206.324.4847,mmcdonald@giddensschool.org,www.giddensschool.org,P-5,NP,NAIS,,,,,,
Pierce,Peninsula,Gig Harbor Academy,8389,Paul Raschke,6820 32nd St NW,Gig Harbor,WA,98335-6417,253.265.2150,raschke@gigharboracademy.org,www.gigharboracademy.org,P-5,NP,,,,,,,
King,Highline,Glendale Lutheran School,8396,Laura Garris,13455 2nd Ave SW,Burien,WA,98146-3320,206.244.6085,garris@glendalelutheranschool.org,glendalelutheranschool.org,P-8,NP,NLSA,,,,,,
Klickitat,Goldendale,Goldendale Adventist School,8379,"LeAnn Paredes, Bd Chair
David Robinson","47 Bickleton Highway
(Mail: PO Box 241
Goldendale WA 98620-0241)",Goldendale,WA,98620,509.250.3193,paradesls@yahoo.com,www.goldendaleschool.org,P-8,NP,SDA,,,,,,
Spokane,Spokane,Gonzaga Preparatory School,8176,Cindy Reopelle,1224 E Euclid Ave,Spokane,WA,99207-2899,509.483.8511,creopelle@gprep.com,www.gprep.com,9-12,NP,NWAC,,,,,,
Thurston,North Thurston,Gospel Outreach,1400,David Hill,1925 South Bay Rd,Olympia,WA,98506-3532,360.786.0070,golouise@comcast.net,www.gospeloutreach.org,1-12,NP,,,,,,,
Snohomish,Marysville,Grace Academy,8429,Timothy J. Lugg,8521 67th Ave NE,Marysville,WA,98270-7855,360.659.8517,tlugg@graceacademy.net,www.graceacademy.net,P-12,NP,ACSI,,,,,,
Ferry,Republic,Grace Christian Academy,801Z,Sarah Van Slyke,"35 N Clark Ave
(Mail: PO Box 88  
Republic 99166-0088)",Republic,WA,99166,509.994.1458,gca4families@gmail.com,gcarepublic.org,P-12,NP,,,,,,,
Yakima,Yakima,Grace Lutheran School,8228,Rebecca Hussman,1207 S 7th Ave,Yakima,WA,98902-5567,"509.457.6611
920.460.7942",principal@gracelutheranyakima.org,www.gracelutheranyakima.org,P-8,NP,,,,,,,
Yakima,Grandview,Grandview Adventist Junior Academy,8233,Richard Peterson,106 N Elm St,Grandview,WA,98930-1009,509.882.3817,richard.peterson@grandviewadventistschool.org,http://grandview23.adventistschoolconnect.org/,K-8,NP,SDA,,,,,,
Grays Harbor,Montesano,Grays Harbor Adventist Christian School,8648,Adria Hay,1216 State Route 12,Montesano,WA,98563-9621,360.249.1115,adriahay@gmail.com,http://www.ghacschool.org,K-8,NP,SDA,,,,,,
Snohomish,Mukilteo,Greater Trinity Christian Learning Academy,8409,"Dr. Paul A. Stoot, Sr.",11229 4th Ave W,Everett,WA,98204-4928,425.267.9689,gtmbcpas@frontier.com ,www.gtclaschool.org,P-1,NP,,,,,,,
King,Auburn,Green River Montessori School,8756,Diana Holz,922 12th St NE,Auburn,WA,98002-4246,253.833.7010,grms@comcast.net,www.GRMontessori.com,P-12,P,,,,,,,
Whitman,Colton,Guardian Angel St. Boniface School,8226,Lori Becker,"306 Steptoe St                                 
(Mail: PO Box 48                    
Colton  99113-0048)",Colton,WA,99113,509.229.3579,lbecker@dioceseofspokane.org,www.gasbschool.org,K-8,NP,WCEA,,,,,,
King,Seattle,Hamlin Robinson School,8743,Joan Beauregard,1701 20th Ave S,Seattle,WA,98144-4411,206.763.1167,jbeauregard@hamlinrobinson.org,www.hamlinrobinson.org,1-8,NP,NWAIS,,,,,,
Pierce,Peninsula,Harbor Christian Schools,1423,Bonnie Mudge,6509 38th Ave NW                       ,Gig Harbor,WA,98335-8301,253.857.6242,harborchs@gmail.com,www.harborchristianschools.org,P-12,NP,,,,,,,
Pierce,Peninsula,Harbor Montessori School,8667,Aimee Allen,5414 Comte Dr,Gig Harbor,WA,98335-7424,253.851.5722,aimee@harbormontessori.org,harbormontessori.org,P-9,NP,,,,,,,
King,Vashon Island,Harbor School,8256,Mark McGough,"15920 Vashon Hwy SW 
(Mail: PO Box 1912
Vashon 98070-1912)",Vashon,WA,98070,206.567.5955,mark@harborschool.org,www.harborschool.org,K-8,NP,,,,,,,
Yakima,Mount Adams,Harrah Community Christian School,8694,Marie Wegmuller,"50 Dane Ave                          
(Mail: PO Box 100                
Harrah  98933-0068)",Harrah,WA,98933,509.848.2418,mwegmuller@aol.com,www.hccschool.org,P-8,NP,,,,,,,
King,Northshore,Heritage Christian Academy,8561,Brenda Chadwick,19527 104th Ave NE,Bothell,WA,98011-2401,425.485.2585,brendac@hcabothell.org,www.hcabothell.org,P-8,NP,ACSI,,Yes,,,,
Pierce,University Place,Heritage Christian School,8296,Ian Scott,5412 67th Ave W,University Place,WA,98467-2246,253.564.6276,principal@heritagecs.net,www.heritagecs.net,P-8,NP,,,,,,,
King,Riverview,Hillside Academy (formerly Red Barn Learning Center--2011),801G,Tim Foley,"26423 NE Allen St 
(Mail: PO Box 1344                        
Duvall WA 98019-1344)",Duvall,WA,98019-8612,425.844.8608,tim@hillsideacademy.com,hillsideacademy.com,P-8,NP,,,,,,,
King,Bellevue,Hillside Student Community School,8241,Kael Sherrard,5027 159th Pl SE,Bellevue,WA,98006-3636,425.747.6448,Kael@hillsidesc.org,www.hilsidesc.org,5-12,NP,,,,,,,
King,Seattle,Holy Family Bilingual Catholic School,8041,Larkin Temme,9615 20th Ave SW,Seattle,WA,98106-2786,206.767.6640,principal@hfseattle.org,www.hfseattle.org/school,P-8,NP,WCEA,,,,,,
King,Lake Washington,Holy Family Parish School,8106,Jackie Degel,7300 - 120th Ave NE,Kirkland,WA,98033-8121,425.827.0444,jdegel@hfkschool.org,www.hfkschool.org,P-8,NP,WCEA,,,,,,
Asotin,Clarkston,Holy Family School,8000,Sharon Shelley-Ray,1002 Chestnut St,Clarkston,WA,99403-2595,509.758.6621,ssray@dioceseofspokane.org,www.holyfamilyclarkston.com,P-6,NP,NWAC,,,,,,
King,Auburn,Holy Family School,8098,Michele Corey,505 17th St SE,Auburn,WA,98002-6895,253.833.8688,principal@hfsauburn.com,www.hfsauburn.com,P-8,NP,WCEA,,,,,,
Thurston,North Thurston,Holy Family School,8340,Monica Davis,"2606 Carpenter Rd SE  
(Mail: PO Box 3700   
Lacey  WA 98509-3700)",Lacey,WA,98503-3999,360.491.7060,principal@holyfamilylacey.com,www.holyfamilylacey.org,P-8,NP,WCEA,,,,,,
King,Federal Way,Holy Innocents School of NW,8295,Dennis M.Cantwell,2530 S 298th St,Federal Way,WA,98003-4219,253.839.0788,contact@holyinnocentsnw.net,www.holyinnocentsofnw.net,K-12,NP,,,,,,,
King,Seattle,Holy Names Academy,8042,Elizabeth Swift,728 21st Ave E,Seattle,WA,98112-4058,206.323.4272,eswift@holynames-sea.org,www.holynames-sea.org,9-12,NP,NAIS,,,,,,
King,Seattle,Holy Rosary Elementary,8043,Anna Horton,4142 42nd Ave SW,Seattle,WA,98116-4202,206.937.7255,ahorton@holyrosaryws.org,www.holyrosaryws.org,P-8,NP,WCEA,,,,,,
Snohomish,Edmonds,"Holy Rosary, Edmonds",8162,Sue Venable,770 Aloha St                          ,Edmonds,WA,98020-3019,425.778.3197,susanv@holyrosaryedmonds.org,www.hrsedmonds.org,P-8,NP,WCEA,,,,,,
King,Federal Way,Holy Trinity Lutheran School,8535,Jason Kelley,2021 S 260th St,Des Moines,WA,98198-9025,253.839.6516,principal@htls-wa.org,www.holytrinitylutheranchurch.org,P-8,NP,,,,,,,
Whatcom,Bellingham,Home Port Learning Center,8088,Steve Abels,707 Astor St,Bellingham,WA,98225-4048,360.715.8860,hplced@gmail.com,www.homeportlc.com,8-12,NP,,,Yes,,,,
King,Seattle,Hope Academy,803M,"Mohamed Moalim
Abdulkadir Jama",9421 18th Ave SW,Seattle,WA,98106-2717,206.438.1778,moalim@aol.com,http://hopeacademic.org,K-8,NP,,,,,,,
King,Seattle,Hope Lutheran School,8045,Kristen Okabayashi,4456 42nd Ave SW,Seattle,WA,98116-4223,206.935.8500,kokabayashi@hopeseattle.org,www.hopeseattle.org,P-8,NP,NLSA,,,,,,
King,Shoreline,Horizon School,8865,Leah Jones,1512 NW 195th St,Shoreline,WA,98177-2820,206.546.0133,ljones@thehorizonschool.org,www.thehorizonschool.net,P-1,NP,,,,,,,
Clark,Vancouver,Hosanna Christian School,8449,Sue Bishoprick,4120 NE St Johns Rd,Vancouver,WA,98661-3226,360.906.0941,s.bishoprick@firste.org,www.hosannacs.org,P-11,NP,,,,,,,
Pierce,Tacoma,"HRRS--Juan Diego Academy (formerly Holy Rosary Schl, Oct 2012)",8137,Katie Dempsey,504 S 30th St,Tacoma,WA,98402-1104,253.272.7012,kdempsey@hrrsjda.org,www.hrrsjda.org,P-8,NP,WCEA,,,,,,
Kitsap,Bainbridge Island,Hyla Middle School,8968,Paul Carroll,7861 Bucklin Hill Rd NE,Bainbridge Island,WA,98110-2603,206.842.5988,paulc@hylamiddleschool.org,www.hylamiddleschool.org,6-8,NP,NWAIS,,,,,,
Pierce,Bethel,Imagination School of Education,8258,Fralisa M. McFall,14824 C St S,Tacoma,WA,98444-4500,253.535.2522,"imaginationschooltacoma@gmail.com
admin@imaginationschool.org",www.ImaginationSchool.org,P-10,P,,,,,,,
Skagit,Mount Vernon,Immaculate Conception Regional School,8153,Gwen Rodrigues,1321 E Division St,Mount Vernon,WA,98274-4132,360.428.3912,rodrigues@icrsweb.org,www.icrsweb.org,P-8,NP,WCEA,,,,,,
Snohomish,Everett,Immaculate Conception/Our Lady of Perpetual Help,8157,Kathy Wartelle,2508 Hoyt Ave,Everett,WA,98201-2906,425.349.7777,kwartelle@ic-olph.org,www.ic-olph.org,P-8,NP,WCEA,,,Yes,,,
King,Bellevue,Internatinal Montessori Academy,805J,Mary Cathy Williams,2227 112th Ave NE   ,BeLlevue ,WA,98004-2953,425.454.5600,info@intlmontessoriacademy.com,www.intlmontessoriacademy.com,K-3,P,,,,Yes,,,
Island,South Whidbey,Island Christian Academy,8928,Brenda Chittim,"5373 S Maxwelton Rd 
(Mail: PO Box 1048
Langley 98260)",Langley,WA,98260-9521,360.221.0919,bchittim@gmail.com,www.islandchristianacademy.com,P-12,NP,,,,,,,
Jefferson,Port Townsend,Jefferson Community School,1427,Rita Hemsley,280 Quincy St  ,Port Townsend,WA,98368-5782,360.385.0622,rhemsley@jeffersoncommunityschool.com,www.jeffersoncommunityschool.com,7-12,NP,NWAC,,,,,,
King,Bellevue,Jewish Day School,8563,Hamutal Gavish,15749 NE 4th St,Bellevue,WA,98008-4317,425.460.0200,hgavish@jds.org,www.jds.org,P-8,NP,NWAIS,,,,,,
King,Highline,JF Kennedy Catholic High School (formerly JF Kennedy Memorial High School  2009),8082,Nancy Bradish,140 S 140th St,Burien,WA,98168-3427,206.246.0500,bradishn@kennedyhs.org,www.kennedyhs.org,9-12,NP,NWAC,,Yes,Yes,,,
Stevens,Colville,Johnson Christian School,8656,Roxana Wood,661 Hwy 395 S,Colville,WA,99114-8621,509.684.8631,roxylyn1@hotmail.com,www.johnsonchristianschool.com,P-12,NP,,,,,,,
Cowlitz,Kelso,Journey Christian School,   803N                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Bethany Edmundson,96 Garden Street,Kelso,WA,98626-1969,360.423.9250,Bethany.edmundson@yahoo.com,www.journeychristianschool.org,P-8,NP,SDA,,,,,,
Chelan,Wenatchee ,Joyful Scholars Montessori Elementary School,804S,Cara Hackenmiller,"249 N Mission
",Wenatchee,WA,98801-2003,509.699.8286,info@joyfulscholars.org,www.joyfulscholars.org,P-6,NP,,,,,,,
Walla Walla,Prescott,Jubilee Leadership Academy,8167,Rick Griffin,29 Jubilee Circle,Prescott,WA,99348-8607,509.749.2103 x 219,"rickg@jlacademy.org
learning@jlacademy.org",jlacademy.org,8-12,NP,NWAC,Yes,,,,,
King,Seattle,Kapka Cooperative School (formerly Kapka Coop Primary Schl 2011),1481,Jenifer Mahan,510 N 49th St,Seattle,WA,98103-6420,206.522.0350,"jennifermahan@kapkaschool.org
kapka@kapkaschool.org",www.kapkaschool.org,K-5,NP,,,,,,,
Clark,Camas,Kids Unlimited DBA Tree Hill Learning Centr,803O,Dana Schnell,3500 SE 196th Ave,Camas,WA,98607-8816,360.833.1230,Dana@treehillkids.com,treehillkids.com,P-1,P,,,,,,,
King,Shoreline,Kings Schools,8102,Eric Rasmussen,19303 Fremont Ave N                      ,Seattle,WA,98133-3800,206.546.7211,erasmussen@kingsschools.org,www.kingsschools.org,P-12,NP,NWAC,,,,,,
Clark,Vancouver,King's Way Christian School,8483,John Griffin,3300 NE 78 St,Vancouver,WA,98665-0656,360.574.1613 ext. 1,JohnGriffin@kwcs.org,www.kwcs.org,K-12,NP,NWAC,,,,,,
Franklin,Pasco,Kingspoint Christian School,8437,Georgia Perkins,7900 W Court St,Pasco,WA,99301-1771,509.547.6498,g.perkins@kingspoint.org,www.kingspoint.org,K-12,NP,,,,,,,
King,Lake Washington,Kirkland SDA School,8107,Ron Jacaban,5320 108th Ave NE,Kirkland,WA,98033-7517,425.822.7554,rjacaban@psaa.org,www.ksdaschool.org,K-8,NP,SDA,,,,,,
Kitsap,Central Kitsap,Kitsap Adventist Christian School,8114,Becky Rae,5088 NW Taylor Rd,Bremerton,WA,98312-8803,360.377.4542,kacschool@gmail.com,http://kacschool.org,K-8,NP,SDA,,,,,,
Yakima,Yakima,La Salle High School,8310,Ted Kanelopoulos,3000 Lightning Way,Union Gap,WA,98903-2213,509.225.2900,tedk@lasalleyakima.org,www.lasalleyakima.com,9-12,NP,WCEA,,,,,,
King,Seattle,Lake WA Girls Middle School,8299,Patricia Hearn,810 18th Ave,Seattle,WA,98122-4747,206.709.3800,phearn@lwgms.org,www.lwgms.org,6-8,NP,NWAIS,,,,,,
King,Seattle,Lakeside School,8048,Bernie Noe,14050 1st Ave NE,Seattle,WA,98125-3099,206.368.3600,bernie.noe@lakesideschool.org,www.lakesideschool.org,5-12,NP,NWAIS,,,,,,
Pierce,Clover Park,Lakewood Lutheran School,8149,Christina Murray,10202 112th St SW,Lakewood,WA,98498-1699,253.584.6024,lakewoodlutheran@gmail.com,www.lakewoodlutheran.net,P-4,NP,,,,,,,
King,Seattle,Laurel Academy (Applied Scholastics Academy of Seattle/Laurel Academy 2015; Laurel Academy added 2014),801H,Sharon West,12700 35th Ave NE,Seattle,WA,98125-4508,206.522.5992,sharon@laurelacademy.org,www.asaseattle.org,K-8,NP,,,,,,,
King,Lake Washington,Leadership Preparatory Academy (formerly L & E Academy-2015),802S,Maureen O'Shaughnessy,"316 4th Ave S
(Mail: 5116 150th Pl SW
Edmonds WA 98026-4431)",Kirkland,WA,98033-6612,"425.786.3006
206.920.8405",maureen@LEAD-Prep.org,www.LEAD-Prep.org,6-12,NP,NWAC,,Yes,Yes,,,
King,Lake Washington,Les Lilas French Bilingual Community School,804T,Virginia Harroch,"6601 132nd Ave NE 
(Mail: 11935 SE 76th St
Newcastle WA 98056-1777)",Kirkland,WA,98033-8627,425.985.1763,virginie@les-lilas.com,www.les-lilas.com,P-5,NP,,,,,,,
Lewis,Chehalis,Lewis County Adventist School,8119,Karen Carlton,"2102 Scheuber Rd S                          
(Mail: PO Box 1203                     
Chehalis 98532-1203)",Chehalis,WA,98532-9635,360.748.3213,"office@lcas.org
kcarlton@lcas.org",www.lcas.org,P-10,NP,SDA,,,,,,
Walla Walla,College Place,Liberty Christian School,8418,Robin Keala Hoe,3172 Peppers Bridge Rd,Walla Walla,WA,99362-7005,509.525.5082,kealaro@gmail.com,www.libertychristianww.org,P-8,NP,,,,,,,
Benton,Richland,Liberty Christian School,8564,Karen Bjur,2200 Williams Blvd,Richland,WA,99352-3077,509.946.0602,kbjur@libertychristian.net,www.libertychristian.net,K-12,NP,ACSI,,,,,,
Pierce,Tacoma,Life Christian Academy (formerly Life Christian Schl 2013),8353,Ross Hjelseth,1717 S Union Ave,Tacoma,WA,98405-1997,253.756.2462,rhjelseth@life-christian.org,life-christian.org,P-12,NP,NWAC,,Yes,,,,
